0x01,温度 
0x02,湿度
0x03,照度 
0x04,土壤温度 
0x05,土壤水分 
0x06,大气压力
0x07,压力/液位 
0x08,流量 
0x09,超声波 
0x0A,雷达 
0x0B,单界面 
0x0C,双界面 
0x0D,浸水 
0x0E,感烟器 
0x0F,明火探测器 
0x10,红外探测器 
0x11,射频物位开关 
0x12,浮球开关 
0x13,音叉物位开关 
0x14,CO2 
0x15,粉尘 
0x16,空气质量等级
0x17,CO 
0x18,H2 
0x19,H2S 
0x1A,O2 
0x1B,SO2 
0x1C,CL2 
0x1D,NH3 
0x1E,CH3OH 
0x1F,CH3CH2OH
0x20,CH4 
0x21,露点 
0x22,水浸报警状态 
0x23,水浸报警数据 
0x24,EC 值（dS/m） 
0x25,温度 1 
0x26,温度 2 
0x27,温度 3 
0x28,温度 4 
0x29,温度 5 
0x2A,温度 6
0x30,风速
0x31,风向
0x32,雨量
0x80,压力液位 Pa
0x81,压力液位 kPa
0x82,压力液位 MPa
0x83,压力液位 Bar
0x84,压力液位 m
0x85,压力液位（预留）
0xA1,开关量 1（输出）
0xA2,开关量 2（输出）
0xA3,开关量 3（输出）
0xA4,开关量 4（输出）
0xA5,开关量 5（输出）
0xA6,开关量 6（输出）
0xA7,开关量 7（输出）
0xA8,开关量 8（输出）
0xB1,开关量 1（输入）
0xB2,开关量 2（输入）
0xB3,开关量 3（输入）
0xB4,开关量 4（输入）
0xB5,开关量 5（输入）
0xB6,开关量 6（输入）
0xB7,开关量 7（输入）
0xB8,开关量 8（输入）
0xC0,模拟量 1（mA）
0xC1,模拟量 2（mA）
0xC2,模拟量 3（mA）
0xC3,模拟量 4（mA）
0xC4,模拟量 5（mA）
0xC5,模拟量 6（mA）
0xC6,模拟量 7（mA）
0xC7,模拟量 8（mA）
0xC8,模拟量 1（V）
0xC9,模拟量 2（V）
0xCA,模拟量 3（V）
0xCB,模拟量 4（V）
0xCC,模拟量 5（V）
0xCD,模拟量 6（V）
0xCE,模拟量 7（V）
0xCF,模拟量 8（V）
0xE0,数据传输
0xE1,传感器 1 ID 号
0xE2,传感器 2 ID 号
0xE3,传感器 3 ID 号
0xF0,设备名称
0xF1,设备版本
0xF2,设备电量
0xF3,时间（年、月）
0xF4,时间（日、时）
0xF5,时间（分、秒）
0xF6,主动上报时间
0xFD,传感器工作作态
0xFE,网关工作状态
0xFF,路由心跳
